date,cat,count,text
11/12/2018,economic,10145238.56,Some text
12/12/2018,economic,10157433.87,Some text
18/12/2018,economic,10156683.03,Some text
19/12/2018,economic,30465544.01,Some text
20/12/2018,economic,10153679.65,Some text
21/12/2018,economic,10152928.8,Some text
24/12/2018,economic,10152177.96,Some text
1/01/2019,economic,10151427.11,Some text
8/01/2019,economic,10150676.27,Some text
9/01/2019,economic,10149925.42,Some text
14/01/2019,economic,10149174.58,Some text
17/01/2019,economic,10164362.72,Some text
21/01/2019,economic,20334251.82,Some text
25/01/2019,economic,10178357.04,Some text
30/01/2019,economic,10177603.81,Some text
31/01/2019,economic,10176850.58,Some text
4/02/2019,economic,10176921.14,Some text
5/02/2019,economic,10176167.85,Some text
7/02/2019,economic,30544367.85,Some text
8/02/2019,economic,10179948.37,Some text
11/02/2019,economic,10179194.58,Some text
12/02/2019,economic,20356127.79,Some text
14/02/2019,economic,30553930.26,Some text
15/02/2019,economic,10200061.97,Some text
19/02/2019,economic,51038954.42,Some text
26/02/2019,economic,20423613.79,Some text
1/03/2019,economic,10367986.32,Some text
4/03/2019,economic,10377579.88,Some text
5/03/2019,economic,10376810.55,Some text
6/03/2019,economic,10376041.21,Some text
7/03/2019,economic,20787980.42,Some text
11/03/2019,economic,20831093.18,Some text
18/03/2019,economic,20887069.13,Some text
20/03/2019,economic,10445569.17,Some text
21/03/2019,economic,10444794.28,Some text
25/03/2019,economic,10444019.39,Some text
27/03/2019,economic,10461506.01,Some text
28/03/2019,economic,10465294.8,Some text
29/03/2019,economic,20928259.84,Some text
2/04/2019,economic,20944301.8,Some text
4/04/2019,economic,10480558.76,Some text
10/04/2019,economic,10479780.75,Some text
11/04/2019,economic,10496453.58,Some text
12/04/2019,economic,10495674.27,Some text
16/04/2019,economic,10499456.96,Some text
17/04/2019,economic,10498677.32,Some text
18/04/2019,economic,42150096.62,Some text
23/04/2019,economic,10543547.87,Some text
29/04/2019,economic,10577002.74,Some text
2/05/2019,economic,10576216.93,Some text
7/05/2019,economic,10575431.12,Some text
10/05/2019,economic,21228448.35,Some text
15/05/2019,economic,21249180.47,Some text
